District,In mil,% of cat-owning households,cat owners
Total UK,11,26%,2860000
Scotland,0.9,24%,216000
Wales,0.6,28%,168000
Norther Ireland,0.3,26%,78000
England,9.2,26%,2392000
East of England,1.2,29%,348000
East Midlands,0.9,27%,243000
Greater London,1.4,29%,406000
North East England,0.3,19%,57000
North West England ,1.2,24%,288000
South East England,1.4,25%,350000
South West England,0.9,26%,234000
West Midlands,1,26%,260000
Yorkshire and Humberside,0.8,22%,176000
